Peter Rasmussen: Lab 4
presort_n,presort,n,metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
rev5k,rev,5000,n,5000,5000,5000,5000,5000,5000
rev5k,rev,5000,n_comparisons,N/A,187157,29804,85398,137634,29804
rev5k,rev,5000,n_exchanges,N/A,53436,39808,33150,29327,39808
rev5k,rev,5000,n_partition_calls,N/A,0,4999,4999,4999,5000
rev5k,rev,5000,elapsed_ns,N/A,136132000,156870000,148329000,150932000,146364000
ran5k,ran,5000,n,5000,5000,5000,5000,5000,5000
ran5k,ran,5000,n_comparisons,N/A,203323,56783,132058,187142,56874
ran5k,ran,5000,n_exchanges,N/A,57054,36625,30669,27282,30634
ran5k,ran,5000,n_partition_calls,N/A,0,4999,4999,4999,5000
ran5k,ran,5000,elapsed_ns,N/A,155374000,144988000,172978000,134947000,115902000
ran2k,ran,2000,n,2000,2000,2000,2000,2000,2000
ran2k,ran,2000,n_comparisons,N/A,70744,19454,46247,62585,19438
ran2k,ran,2000,n_exchanges,N/A,20137,13618,11177,10315,11249
ran2k,ran,2000,n_partition_calls,N/A,0,1999,1999,1999,2000
ran2k,ran,2000,elapsed_ns,N/A,75609000,343746000,138150000,153578000,70819000
rev500,rev,500,n,500,500,500,500,500,500
rev500,rev,500,n_comparisons,N/A,12145,2216,6054,9551,2216
rev500,rev,500,n_exchanges,N/A,3676,3216,2651,2402,3216
rev500,rev,500,n_partition_calls,N/A,0,499,499,499,500
rev500,rev,500,elapsed_ns,N/A,7755000,6789000,7734000,8358000,10650000
ran10k,ran,10000,n,10000,10000,10000,10000,10000,10000
ran10k,ran,10000,n_comparisons,N/A,446583,123708,272175,403730,123661
ran10k,ran,10000,n_exchanges,N/A,124126,78370,65377,59582,66118
ran10k,ran,10000,n_partition_calls,N/A,0,9999,9999,9999,10000
ran10k,ran,10000,elapsed_ns,N/A,422400000,302821000,394250000,271627000,439530000
dup500,dup,500,n,500,500,500,500,500,500
dup500,dup,500,n_comparisons,N/A,13729,3874,9978,13008,3858
dup500,dup,500,n_exchanges,N/A,4058,2914,2406,2206,2317
dup500,dup,500,n_partition_calls,N/A,0,499,499,499,500
dup500,dup,500,elapsed_ns,N/A,16952000,13635000,12234000,21280000,10244000
dup2k,dup,2000,n,2000,2000,2000,2000,2000,2000
dup2k,dup,2000,n_comparisons,N/A,70591,19436,49524,67874,19462
dup2k,dup,2000,n_exchanges,N/A,20088,13644,11185,10319,11064
dup2k,dup,2000,n_partition_calls,N/A,0,1999,1999,1999,2000
dup2k,dup,2000,elapsed_ns,N/A,70632000,44372000,66753000,38141000,31054000
asc5k,asc,5000,n,5000,5000,5000,5000,5000,5000
asc5k,asc,5000,n_comparisons,N/A,221313,33356,40993,47888,4999
asc5k,asc,5000,n_exchanges,N/A,60932,10004,7502,6669,0
asc5k,asc,5000,n_partition_calls,N/A,0,4999,4999,4999,5000
asc5k,asc,5000,elapsed_ns,N/A,121648000,115541000,80040000,75261000,29021000
rev2k,rev,2000,n,2000,2000,2000,2000,2000,2000
rev2k,rev,2000,n_comparisons,N/A,64277,10864,31060,47704,10864
rev2k,rev,2000,n_exchanges,N/A,18708,14864,12162,11107,14864
rev2k,rev,2000,n_partition_calls,N/A,0,1999,1999,1999,2000
rev2k,rev,2000,elapsed_ns,N/A,38488000,45354000,37274000,40497000,42243000
